project_name,address,city,zip,units,sources,owner_operator,contact_email,multi_program_overlap
MAYFAIR GARDENS,231A N Main St,Manchester,06042,4,Public_Housing,Manchester Housing Authority,,No
Quinnipiac Terrace Phase II,1435 Quinnipiac Ave Unit 25,New Haven,06513,4,Public_Housing,Housing Authority of the City of New Haven,,No
WAVERLY TOWNHOUSES,276 Valley St,New Haven,06515,4,Public_Housing,Housing Authority of the City of New Haven,,No
MCCONAUGHY TERRACE,450 Valley St,New Haven,06515,4,Public_Housing,Housing Authority of the City of New Haven,,No
CAMBRIDGE PARK,142 Davis Dr,Bristol,06010,4,Public_Housing,Bristol Housing Authority,,No
AUSTIN RD & S END TURNKY,152 Spring Brook Rd,Waterbury,06706,4,Public_Housing,Waterbury Housing Authority,,No
MASTER CONTRACT - CREATIVE CHOICE,70 Seeley St,Bridgeport,06604,4,Public_Housing,Housing Authority of the City of Bridgeport,,No
TRUMBULL GARDENS TOWNHOUSES,730A Trumbull Ave,Bridgeport,06606,4,Public_Housing,Housing Authority of the City of Bridgeport,,No
HARTFORD SCATTERED SITE I,117 Benton St,Hartford,06114,4,Public_Housing,Housing Authority of the City of Hartford,,No
AUSTIN RD & S END TURNKY,170 Spring Brook Rd,Waterbury,06706,4,Public_Housing,Waterbury Housing Authority,,No
MCCONAUGHY TERRACE,454 Valley St,New Haven,06515,4,Public_Housing,Housing Authority of the City of New Haven,,No
SBONA TOWERS,5 Maplewood Ter,Middletown,06457,4,Public_Housing,Middletown Housing Authority,,No
TRUMBULL GARDENS TOWNHOUSES,394A Trumbull Ave,Bridgeport,06606,4,Public_Housing,Housing Authority of the City of Bridgeport,,No
BONNIE ACRES,52 Vance Dr,Bristol,06010,4,Public_Housing,Bristol Housing Authority,,No
HAMPSHIRE HEIGHTS,57 Thayer St,Putnam,06260,4,Public_Housing,Putnam Housing Authority,,No
MAYFAIR GARDENS,235A N Main St,Manchester,06042,4,Public_Housing,Manchester Housing Authority,,No
TRUMBULL GARDENS TOWNHOUSES,670A Trumbull Ave,Bridgeport,06606,4,Public_Housing,Housing Authority of the City of Bridgeport,,No
MCCONAUGHY TERRACE,540 Valley St,New Haven,06515,4,Public_Housing,Housing Authority of the City of New Haven,,No
MCCONAUGHY TERRACE,410 Valley St,New Haven,06515,4,Public_Housing,Housing Authority of the City of New Haven,,No
Franklin Park East,13 Franklin Park E,Rockville,06066,4,Public_Housing,Vernon Housing Authority,,No
MCCONAUGHY TERRACE,49 S Genesee St,New Haven,06515,4,Public_Housing,Housing Authority of the City of New Haven,,No
MASTER CONTRACT - CREATIVE CHOICE,55A Sheridan St,Bridgeport,06610,4,Public_Housing,Housing Authority of the City of Bridgeport,,No
WAVERLY TOWNHOUSES,250 Valley St,New Haven,06515,4,Public_Housing,Housing Authority of the City of New Haven,,No
MCCONAUGHY TERRACE,412 Valley St,New Haven,06515,4,Public_Housing,Housing Authority of the City of New Haven,,No
TRUMAN APTS,1885 N Main St,Waterbury,06704,4,Public_Housing,Waterbury Housing Authority,,No
Alan Jepson Manor,172A Harrison Ave,Milford,06460,4,Public_Housing,Milford Redevelopment and Housing Partnership,,No
Franklin D. Roosevelt Apartments,49 Kearney Dr,Waterbury,06704,4,Public_Housing,Waterbury Housing Authority,,No
CAMBRIDGE PARK,85 Davis Dr,Bristol,06010,4,Public_Housing,Bristol Housing Authority,,No
Alan Jepson Manor,176A Harrison Ave,Milford,06460,4,Public_Housing,Milford Redevelopment and Housing Partnership,,No
Elderly and Bond Street,75 Pike St,New Britain,06051,4,Public_Housing,Housing Authority of the CIty of New Britain,,No
Lewis Circle Apartments,45 Lewis Cir,Naugatuck,06770,4,Public_Housing,Naugatuck Housing Authority,,No
TRUMBULL GARDENS TOWNHOUSES,385A Trumbull Ave,Bridgeport,06606,4,Public_Housing,Housing Authority of the City of Bridgeport,,No
MCCONAUGHY TERRACE,105 S Genesee St,New Haven,06515,4,Public_Housing,Housing Authority of the City of New Haven,,No
URSULA PARK TOWNHOUSES,1 Lawn Ave Apt C1,Stamford,06902,4,Public_Housing,Housing Authority of the City of Stamford,,No
MAYFAIR GARDENS,227A N Main St,Manchester,06042,4,Public_Housing,Manchester Housing Authority,,No
Franklin Park East,33 Franklin Park E,Rockville,06066,4,Public_Housing,Vernon Housing Authority,,No
WAVERLY TOWNHOUSES,210 Valley St,New Haven,06515,4,Public_Housing,Housing Authority of the City of New Haven,,No
WESTVILLE MANOR,28 Lodge St,New Haven,06515,4,Public_Housing,Housing Authority of the City of New Haven,,No
MAYFAIR GARDENS,291A N Main St,Manchester,06042,4,Public_Housing,Manchester Housing Authority,,No
BONNIE ACRES,123 Vance Dr,Bristol,06010,4,Public_Housing,Bristol Housing Authority,,No
Catherine McKeen Village,83 Jepson Dr Apt 1,Milford,06460,4,Public_Housing,Milford Redevelopment and Housing Partnership,,No
MCCONAUGHY TERRACE,9 S Genesee St,New Haven,06515,4,Public_Housing,Housing Authority of the City of New Haven,,No
WAVERLY TOWNHOUSES,226 Valley St,New Haven,06515,4,Public_Housing,Housing Authority of the City of New Haven,,No
TRUMAN APTS,1751 N Main St,Waterbury,06704,4,Public_Housing,Waterbury Housing Authority,,No
WESTVILLE MANOR,27 Wayfarer St,New Haven,06515,4,Public_Housing,Housing Authority of the City of New Haven,,No
Brookside Phase I,19 Austin St,New Haven,06515,4,Public_Housing,Housing Authority of the City of New Haven,,No
BONNIE ACRES,92 Vance Dr,Bristol,06010,4,Public_Housing,Bristol Housing Authority,,No
MAYFAIR GARDENS,271A N Main St,Manchester,06042,4,Public_Housing,Manchester Housing Authority,,No
Lewis Circle Apartments,21 Lewis Cir,Naugatuck,06770,4,Public_Housing,Naugatuck Housing Authority,,No
MCCONAUGHY TERRACE,442 Valley St,New Haven,06515,4,Public_Housing,Housing Authority of the City of New Haven,,No
AUSTIN RD & S END TURNKY,188 Spring Brook Rd,Waterbury,06706,4,Public_Housing,Waterbury Housing Authority,,No
BONNIE ACRES,49 Vance Dr,Bristol,06010,4,Public_Housing,Bristol Housing Authority,,No
MAYFAIR GARDENS,259A N Main St,Manchester,06042,4,Public_Housing,Manchester Housing Authority,,No
Alan Jepson Manor,160A Harrison Ave,Milford,06460,4,Public_Housing,Milford Redevelopment and Housing Partnership,,No
Fairgate,56 Fairgate Dr,Stamford,06902,4,Public_Housing,Housing Authority of the City of Stamford,,No
TRUMAN APTS,63A Willow St,Waterbury,06710,4,Public_Housing,Waterbury Housing Authority,,No
WAVERLY TOWNHOUSES,242 Valley St,New Haven,06515,4,Public_Housing,Housing Authority of the City of New Haven,,No
Lewis Circle Apartments,53 Lewis Cir,Naugatuck,06770,4,Public_Housing,Naugatuck Housing Authority,,No
MARINA VILLAGE,735 South Ave,Bridgeport,06604,4,Public_Housing,Housing Authority of the City of Bridgeport,,No
AUSTIN RD & S END TURNKY,143 Spring Brook Rd,Waterbury,06706,4,Public_Housing,Waterbury Housing Authority,,No
MAYFAIR GARDENS,267A N Main St,Manchester,06042,4,Public_Housing,Manchester Housing Authority,,No
WESTVILLE MANOR,43 Lodge St,New Haven,06515,4,Public_Housing,Housing Authority of the City of New Haven,,No
BONNIE ACRES,36 Vance Dr,Bristol,06010,4,Public_Housing,Bristol Housing Authority,,No
HAMPSHIRE HEIGHTS,40 Laconia Ct,Putnam,06260,4,Public_Housing,Putnam Housing Authority,,No
CAMBRIDGE PARK,148 Jerome Ave,Bristol,06010,4,Public_Housing,Bristol Housing Authority,,No
Lewis Circle Apartments,33 Lewis Cir,Naugatuck,06770,4,Public_Housing,Naugatuck Housing Authority,,No
HOCKANUM PARK,50 Elms Village Dr,East Hartford,06118,4,Public_Housing,East Hartford Housing Authority,,No
MCCONAUGHY TERRACE,490 Valley St,New Haven,06515,4,Public_Housing,Housing Authority of the City of New Haven,,No
Alan Jepson Manor,158A Harrison Ave,Milford,06460,4,Public_Housing,Milford Redevelopment and Housing Partnership,,No
HOCKANUM PARK,10 Holmes St,East Hartford,06118,4,Public_Housing,East Hartford Housing Authority,,No
Franklin Park East,9 Franklin Park E,Rockville,06066,4,Public_Housing,Vernon Housing Authority,,No
HAMPSHIRE HEIGHTS,126 Laconia Ave,Putnam,06260,4,Public_Housing,Putnam Housing Authority,,No
OAKWOOD KNOLL,63 Westwood Park,Norwich,06360,4,Public_Housing,Norwich Housing Authority,,No
Franklin Park East,17 Franklin Park E,Rockville,06066,4,Public_Housing,Vernon Housing Authority,,No
HAMPSHIRE HEIGHTS,150 Laconia Ave,Putnam,06260,4,Public_Housing,Putnam Housing Authority,,No
SBONA TOWERS,13 Maplewood Ter,Middletown,06457,4,Public_Housing,Middletown Housing Authority,,No
MCCONAUGHY TERRACE,528 Valley St,New Haven,06515,4,Public_Housing,Housing Authority of the City of New Haven,,No
SBONA TOWERS,1 Maplewood Ter,Middletown,06457,4,Public_Housing,Middletown Housing Authority,,No
BONNIE ACRES,76 Vance Dr,Bristol,06010,4,Public_Housing,Bristol Housing Authority,,No
MAYFAIR GARDENS,223A N Main St,Manchester,06042,4,Public_Housing,Manchester Housing Authority,,No
SBONA TOWERS,57 Traverse Sq,Middletown,06457,4,Public_Housing,Middletown Housing Authority,,No
Elderly and Bond Street,80 Pike St,New Britain,06051,4,Public_Housing,Housing Authority of the CIty of New Britain,,No
Nelson Street,17 Nelson St,Hartford,06120,4,Public_Housing,Housing Authority of the City of Hartford,,No
TRUMBULL GARDENS TOWNHOUSES,500A Trumbull Ave,Bridgeport,06606,4,Public_Housing,Housing Authority of the City of Bridgeport,,No
Quinnipiac Terrace Phase I,35 Del Rio Dr,New Haven,06513,4,Public_Housing,Housing Authority of the City of New Haven,,No
WAVERLY TOWNHOUSES,284 Valley St,New Haven,06515,4,Public_Housing,Housing Authority of the City of New Haven,,No
HOCKANUM PARK,14 Holmes St,East Hartford,06118,4,Public_Housing,East Hartford Housing Authority,,No
MAYFAIR GARDENS,239A N Main St,Manchester,06042,4,Public_Housing,Manchester Housing Authority,,No
Franklin Park East,21 Franklin Park E,Rockville,06066,4,Public_Housing,Vernon Housing Authority,,No
TRUMAN APTS,1873 N Main St,Waterbury,06704,4,Public_Housing,Waterbury Housing Authority,,No
TRUMBULL GARDENS TOWNHOUSES,372A Trumbull Ave,Bridgeport,06606,4,Public_Housing,Housing Authority of the City of Bridgeport,,No
BONNIE ACRES,60 Vance Dr,Bristol,06010,4,Public_Housing,Bristol Housing Authority,,No
TRUMAN APTS,1843 N Main St,Waterbury,06704,4,Public_Housing,Waterbury Housing Authority,,No
MCCONAUGHY TERRACE,522 Valley St,New Haven,06515,4,Public_Housing,Housing Authority of the City of New Haven,,No
CAMBRIDGE PARK,26 Davis Dr,Bristol,06010,4,Public_Housing,Bristol Housing Authority,,No
WAVERLY TOWNHOUSES,19 Waverly St,New Haven,06511,4,Public_Housing,Housing Authority of the City of New Haven,,No
WESTVILLE MANOR,67 Level St,New Haven,06515,4,Public_Housing,Housing Authority of the City of New Haven,,No
BONNIE ACRES,124 Vance Dr,Bristol,06010,4,Public_Housing,Bristol Housing Authority,,No
WAVERLY TOWNHOUSES,100 Day St,New Haven,06511,4,Public_Housing,Housing Authority of the City of New Haven,,No
HAMPSHIRE HEIGHTS,131 Laconia Ave,Putnam,06260,4,Public_Housing,Putnam Housing Authority,,No
AUSTIN RD & S END TURNKY,156 Spring Brook Rd,Waterbury,06706,4,Public_Housing,Waterbury Housing Authority,,No
AUSTIN RD & S END TURNKY,155 Spring Brook Rd,Waterbury,06706,4,Public_Housing,Waterbury Housing Authority,,No
HAMPSHIRE HEIGHTS,44 Phillips St,Putnam,06260,4,Public_Housing,Putnam Housing Authority,,No
BONNIE ACRES,84 Vance Dr,Bristol,06010,4,Public_Housing,Bristol Housing Authority,,No
Elderly and Bond Street,54 Halsey Rd,New Britain,06051,4,Public_Housing,Housing Authority of the CIty of New Britain,,No
MASTER CONTRACT - CREATIVE CHOICE,39 Caroline St,Bridgeport,06608,4,Public_Housing,Housing Authority of the City of Bridgeport,,No
Quinnipiac Terrace Phase II,1435 Quinnipiac Ave Unit 18,New Haven,06513,4,Public_Housing,Housing Authority of the City of New Haven,,No
Franklin Park East,37 Franklin Park E,Rockville,06066,4,Public_Housing,Vernon Housing Authority,,No
TRUMAN APTS,1711 N Main St,Waterbury,06704,4,Public_Housing,Waterbury Housing Authority,,No
SBONA TOWERS,18 Traverse Sq,Middletown,06457,4,Public_Housing,Middletown Housing Authority,,No
TRUMBULL GARDENS TOWNHOUSES,341A Trumbull Ave,Bridgeport,06606,4,Public_Housing,Housing Authority of the City of Bridgeport,,No
Greenwoods Garden,37 Greenwoods Ave,Winsted,06098,4,Public_Housing,Winchester Housing Authority,,No
MCCONAUGHY TERRACE,512 Valley St,New Haven,06515,4,Public_Housing,Housing Authority of the City of New Haven,,No
OAKWOOD KNOLL,72 Oakwood Knls,Norwich,06360,4,Public_Housing,Norwich Housing Authority,,No
BONNIE ACRES,68 Vance Dr,Bristol,06010,4,Public_Housing,Bristol Housing Authority,,No
Elderly and Bond Street,15 Upton St,New Britain,06051,4,Public_Housing,Housing Authority of the CIty of New Britain,,No
Lewis Circle Apartments,38 Lewis Cir,Naugatuck,06770,4,Public_Housing,Naugatuck Housing Authority,,No
HAMPSHIRE HEIGHTS,96 Laconia Ave,Putnam,06260,4,Public_Housing,Putnam Housing Authority,,No
New Nelton Court,22 Acton St,Hartford,06120,4,Public_Housing,Housing Authority of the City of Hartford,,No
MCCONAUGHY TERRACE,496 Valley St,New Haven,06515,4,Public_Housing,Housing Authority of the City of New Haven,,No
MCCONAUGHY TERRACE,502 Valley St,New Haven,06515,4,Public_Housing,Housing Authority of the City of New Haven,,No
Franklin Park East,25 Franklin Park E,Rockville,06066,4,Public_Housing,Vernon Housing Authority,,No
TRUMBULL GARDENS TOWNHOUSES,690A Trumbull Ave,Bridgeport,06606,4,Public_Housing,Housing Authority of the City of Bridgeport,,No
TRUMBULL GARDENS TOWNHOUSES,387A Trumbull Ave,Bridgeport,06606,4,Public_Housing,Housing Authority of the City of Bridgeport,,No
WESTVILLE MANOR,45 Wayfarer St,New Haven,06515,4,Public_Housing,Housing Authority of the City of New Haven,,No
WHALLEY AVENUE HOUSING,609-611 WHALLEY AVE,NEW HAVEN,06511,3,Section8_Multifamily,"WHALLEY HOUSING SERVICES, INC.",hlatorra@marrakech.org,No
AUSTIN RD & S END TURNKY,67 Gilyard Dr,Waterbury,06706,3,Public_Housing,Waterbury Housing Authority,,No
AUSTIN RD & S END TURNKY,52 Gilyard Dr,Waterbury,06706,3,Public_Housing,Waterbury Housing Authority,,No
TRUMBULL GARDENS TOWNHOUSES,40A Terrace Cir,Bridgeport,06606,3,Public_Housing,Housing Authority of the City of Bridgeport,,No
CAMBRIDGE PARK,151 Davis Dr,Bristol,06010,3,Public_Housing,Bristol Housing Authority,,No
New Nelton Court,24 Nelson St,Hartford,06120,3,Public_Housing,Housing Authority of the City of Hartford,,No
BOSTON COMMONS,173 Catherine St,Bridgeport,06604,3,Public_Housing,Housing Authority of the City of Bridgeport,,No
HOCKANUM PARK,22 Holmes St,East Hartford,06118,3,Public_Housing,East Hartford Housing Authority,,No
TRUMBULL GARDENS TOWNHOUSES,44A Terrace Cir,Bridgeport,06606,3,Public_Housing,Housing Authority of the City of Bridgeport,,No
HOCKANUM PARK,50 Mill Rd,East Hartford,06118,3,Public_Housing,East Hartford Housing Authority,,No
AUSTIN RD & S END TURNKY,56 Gilyard Dr,Waterbury,06706,3,Public_Housing,Waterbury Housing Authority,,No
AUSTIN RD & S END TURNKY,5 Gilyard Dr,Waterbury,06706,3,Public_Housing,Waterbury Housing Authority,,No
TRUMAN APTS,15 Elmer St,Waterbury,06708,3,Public_Housing,Waterbury Housing Authority,,No
BOSTON COMMONS,258 Eagle St,Bridgeport,06607,3,Public_Housing,Housing Authority of the City of Bridgeport,,No
MASTER CONTRACT - CREATIVE CHOICE,32 Caroline St,Bridgeport,06608,3,Public_Housing,Housing Authority of the City of Bridgeport,,No
AUSTIN RD & S END TURNKY,60 Gilyard Dr,Waterbury,06706,3,Public_Housing,Waterbury Housing Authority,,No
TRUMAN APTS,8 Elmer St,Waterbury,06708,3,Public_Housing,Waterbury Housing Authority,,No
OAKWOOD KNOLL,32 Westwood Park,Norwich,06360,3,Public_Housing,Norwich Housing Authority,,No
CAMBRIDGE PARK,112 Jerome Ave,Bristol,06010,3,Public_Housing,Bristol Housing Authority,,No
BOSTON COMMONS,138A Catherine St,Bridgeport,06604,3,Public_Housing,Housing Authority of the City of Bridgeport,,No
TRUMBULL GARDENS TOWNHOUSES,615A Trumbull Ave,Bridgeport,06606,3,Public_Housing,Housing Authority of the City of Bridgeport,,No
AUSTIN RD & S END TURNKY,36 Gilyard Dr,Waterbury,06706,3,Public_Housing,Waterbury Housing Authority,,No
BOSTON COMMONS,81 Velvet St,Bridgeport,06610,3,Public_Housing,Housing Authority of the City of Bridgeport,,No
HARTFORD SCATTERED SITE I,57 Green St,Hartford,06120,3,Public_Housing,Housing Authority of the City of Hartford,,No
HARTFORD SCATTERED SITE I,465 Garden St,Hartford,06112,3,Public_Housing,Housing Authority of the City of Hartford,,No
Fairgate,40 Fairgate Dr,Stamford,06902,3,Public_Housing,Housing Authority of the City of Stamford,,No
TRUMAN APTS,7 Bliss St,Waterbury,06708,3,Public_Housing,Waterbury Housing Authority,,No
ST. ANTHONY II,222 Quinnipiac Ave,New Haven,06513,3,Public_Housing,Housing Authority of the City of New Haven,,No
MASTER CONTRACT - CREATIVE CHOICE,55 Remington St,Bridgeport,06610,3,Public_Housing,Housing Authority of the City of Bridgeport,,No
AUSTIN RD & S END TURNKY,51 Gilyard Dr,Waterbury,06706,3,Public_Housing,Waterbury Housing Authority,,No
MASTER CONTRACT - CREATIVE CHOICE,46 Caroline St,Bridgeport,06608,3,Public_Housing,Housing Authority of the City of Bridgeport,,No
BOSTON COMMONS,87 Velvet St,Bridgeport,06610,3,Public_Housing,Housing Authority of the City of Bridgeport,,No
MASTER CONTRACT - CREATIVE CHOICE,93 Palisade Ave,Bridgeport,06610,3,Public_Housing,Housing Authority of the City of Bridgeport,,No
WAVERLY TOWNHOUSES,258 Valley St,New Haven,06515,3,Public_Housing,Housing Authority of the City of New Haven,,No
Presidential Village,598 Jane St,Bridgeport,06608,3,Public_Housing,Housing Authority of the City of Bridgeport,,No
Alan Jepson Manor,166A Harrison Ave,Milford,06460,3,Public_Housing,Milford Redevelopment and Housing Partnership,,No
New Nelton Court,16 Nelson St,Hartford,06120,3,Public_Housing,Housing Authority of the City of Hartford,,No
MCCONAUGHY TERRACE,77 S Genesee St,New Haven,06515,3,Public_Housing,Housing Authority of the City of New Haven,,No
OAKWOOD KNOLL,62 Westwood Park,Norwich,06360,3,Public_Housing,Norwich Housing Authority,,No
HARTFORD SCATTERED SITE I,120 Adams St,Hartford,06112,3,Public_Housing,Housing Authority of the City of Hartford,,No
SCATTERED SITES-II,571 Central Ave,New Haven,06515,3,Public_Housing,Housing Authority of the City of New Haven,,No
AUSTIN RD & S END TURNKY,48 Gilyard Dr,Waterbury,06706,3,Public_Housing,Waterbury Housing Authority,,No
MCCONAUGHY TERRACE,150 S Genesee St,New Haven,06515,3,Public_Housing,Housing Authority of the City of New Haven,,No
MASTER CONTRACT - CREATIVE CHOICE,116 Elizabeth St,Bridgeport,06610,3,Public_Housing,Housing Authority of the City of Bridgeport,,No
BOSTON COMMONS,27 Cowles St,Bridgeport,06607,3,Public_Housing,Housing Authority of the City of Bridgeport,,No
TRUMAN APTS,1733 N Main St,Waterbury,06704,3,Public_Housing,Waterbury Housing Authority,,No
New Nelton Court,20 Nelson St,Hartford,06120,3,Public_Housing,Housing Authority of the City of Hartford,,No
BOSTON COMMONS,75 Velvet St,Bridgeport,06610,3,Public_Housing,Housing Authority of the City of Bridgeport,,No
SCATTERED SITES-II,565 Central Ave,New Haven,06515,3,Public_Housing,Housing Authority of the City of New Haven,,No
